order_id,item_id,operation
0,42,S
1,57,S
2,43,S
3,23,S
4,53,S
5,17,S
6,35,S
7,53,S
8,43,S
9,39,S
10,41,S
11,26,S
12,27,S
13,14,S
14,36,S
15,53,S
16,26,S
17,2,S
18,27,S
19,8,S
20,54,S
21,23,S
22,26,R
23,2,R
24,23,R
25,23,S
26,26,R
27,53,S
28,32,S
29,23,R
30,53,R
31,23,S
32,4,S
33,32,R
34,53,R
35,26,S
36,27,R
37,44,S
38,43,R
39,51,S
40,37,S
41,26,S
42,23,R
43,21,S
44,53,R
45,26,R
46,26,R
47,14,S
48,14,R
49,27,S
50,41,R
51,2,S
52,43,R
53,26,S
54,26,R
55,26,S
56,12,S
57,53,R
58,26,R
59,26,S
60,41,S
61,23,S
62,26,R
63,37,S
64,23,R
65,35,R
66,13,S
67,16,S
68,41,R
69,28,S
70,42,R
71,23,S
72,4,S
73,39,R
74,53,S
75,53,R
76,16,R
77,27,R
78,23,R
79,26,S
80,14,S
81,21,S
82,26,S
83,23,R
84,26,R
85,26,R
86,27,R
87,23,S
88,42,S
89,38,S
90,36,R
91,56,S
92,23,R
93,37,R
94,38,S
95,28,R
96,14,R
97,27,S
98,8,R
99,9,S
100,47,S
101,53,S
102,26,S
103,14,S
104,26,S
105,26,R
106,26,S
107,26,R
108,26,R
109,47,R
110,13,R
111,29,S
112,29,R
113,42,R
114,12,R
115,11,S
116,29,S
117,29,S
118,45,S
119,27,S
120,29,S
121,29,R
122,29,R
123,57,R
124,29,R
125,27,R
126,45,R
127,29,S
128,42,S
129,26,S
130,44,R
131,29,S
132,12,S
133,29,R
134,29,R
135,29,S
136,29,R
137,14,R
138,42,R
139,29,S
140,29,S
141,29,R
142,1,S
143,29,S
144,29,S
145,29,R
146,42,S
147,42,R
148,29,R
149,29,S
150,29,R
151,29,R
152,4,S
153,57,S
154,4,R
155,29,S
156,29,R
157,6,S
158,12,R
159,1,R
160,29,S
161,54,R
162,14,R
163,45,S
164,45,S
165,29,R
166,29,S
167,12,S
168,29,R
169,29,S
170,29,R
171,45,R
172,22,S
173,29,S
174,11,R
175,11,S
176,11,S
177,32,S
178,32,R
179,32,S
180,32,R
181,32,S
182,32,R
183,22,R
184,32,S
185,32,S
186,32,R
187,32,S
188,32,R
189,32,S
190,44,S
191,32,R
192,32,R
193,32,S
194,32,R
195,17,R
196,44,S
197,26,R
198,57,R
199,28,S
200,48,S
201,2,R
202,25,S
203,32,S
204,32,S
205,32,R
206,32,S
207,12,S
208,32,R
209,32,R
210,32,S
211,41,S
212,41,S
213,59,S
214,17,S
215,17,R
216,41,S
217,41,R
218,56,R
219,48,R
220,41,R
221,21,R
222,4,R
223,1,S
224,41,S
225,12,R
226,1,R
227,38,R
228,8,S
229,1,S
230,6,R
231,21,R
232,51,R
233,23,S
234,41,R
235,36,S
236,36,R
237,36,S
238,36,R
239,36,S
240,36,S
241,36,S
242,36,S
243,36,R
244,36,R
245,37,R
246,36,R
247,36,R
248,1,S
249,36,S
250,36,R
251,23,R
252,1,R
253,26,S
254,29,R
255,36,S
256,36,R
257,36,S
258,23,S
259,36,R
260,4,R
261,36,S
262,36,S
263,26,R
264,36,R
265,26,S
266,48,S
267,36,R
268,23,R
269,36,S
270,36,S
271,1,R
272,37,S
273,36,R
274,36,S
275,36,R
276,36,S
277,36,R
278,51,S
279,36,R
280,51,R
281,23,S
282,23,R
283,51,S
284,36,S
285,36,S
286,36,S
287,36,R
288,33,S
289,36,S
290,36,R
291,19,S
292,36,R
293,36,R
294,33,R
295,23,S
296,48,S
297,23,R
298,36,S
299,35,S
300,46,S
301,36,S
302,36,R
303,36,S
304,36,S
305,48,R
306,36,S
307,36,S
308,36,R
309,36,R
310,36,R
311,36,S
312,36,R
313,36,S
314,36,S
315,36,R
316,36,R
317,36,S
318,36,R
319,36,S
320,36,S
321,36,R
322,36,S
323,36,R
324,36,S
325,36,S
326,36,R
327,36,S
328,35,S
329,36,R
330,35,R
331,36,R
332,23,S
333,9,R
334,48,R
335,41,R
336,35,R
337,18,S
338,26,R
339,23,R
340,8,R
341,48,S
342,48,R
343,39,S
344,38,R
345,28,R
346,55,S
347,48,S
348,48,R
349,16,S
350,36,R
351,48,S
352,52,S
353,36,R
354,52,R
355,48,R
356,1,S
357,55,R
358,39,R
359,39,S
360,39,R
361,36,S
362,1,R
363,31,S
364,1,S
365,57,S
366,48,S
367,1,R
368,31,R
369,31,S
370,48,S
371,20,S
372,39,S
373,48,S
374,39,S
375,35,S
376,48,R
377,36,R
378,39,R
379,31,S
380,31,S
381,48,S
382,48,R
383,48,R
384,31,R
385,31,S
386,39,R
387,31,R
388,1,S
389,12,R
390,47,S
391,38,S
392,38,R
393,38,S
394,38,R
395,38,S
396,38,R
397,44,R
398,32,R
399,38,S
400,38,R
401,38,S
402,38,R
403,47,R
404,38,S
405,38,S
406,38,S
407,38,R
408,38,R
409,38,R
410,38,S
411,15,S
412,38,S
413,38,S
414,38,R
415,14,S
416,23,S
417,2,S
418,2,R
419,36,R
420,31,R
421,46,R
422,59,R
423,59,S
424,42,S
425,23,R
426,53,R
427,2,S
428,27,S
429,19,R
430,23,S
431,18,S
432,24,S
433,50,S
434,2,R
435,25,R
436,50,S
437,56,S
438,27,R
439,23,R
440,18,R
441,57,S
442,23,S
443,31,R
444,59,S
445,14,R
446,8,S
447,57,R
448,27,S
449,16,R
450,2,S
451,42,S
452,59,R
453,23,S
454,15,R
455,18,S
456,18,S
457,23,S
458,42,R
459,56,R
460,45,R
461,23,R
462,37,S
463,57,R
464,27,R
465,23,R
466,37,S
467,2,R
468,23,S
469,6,S
470,51,R
471,18,R
472,21,S
473,27,R
474,42,R
475,37,R
476,14,S
477,14,R
478,38,R
479,30,S
480,11,R
481,44,R
482,11,R
483,40,S
484,37,R
485,14,S
486,30,R
487,22,S
488,1,R
489,31,S
490,48,R
491,34,S
492,14,R
493,51,S
494,21,R
495,14,S
496,14,R
497,36,S
498,51,R
499,36,S
500,54,S
501,50,R
502,12,S
503,23,R
504,14,S
505,51,S
506,37,S
507,2,S
508,14,R
509,53,S
510,45,S
511,37,R
512,2,R
513,34,R
514,5,S
515,24,R
516,8,R
517,31,R
518,50,R
519,55,S
520,51,R
521,46,S
522,6,R
523,9,S
524,13,S
525,9,R
526,5,R
527,9,S
528,9,R
529,18,S
530,18,R
531,9,S
532,9,R
533,9,S
534,9,R
535,9,S
536,9,R
537,9,S
538,9,R
539,18,S
540,13,R
541,9,S
542,9,R
543,9,S
544,9,R
545,57,S
546,30,S
547,34,S
548,36,R
549,12,R
550,9,S
551,9,R
552,32,S
553,32,R
554,55,S
555,18,R
556,34,R
557,25,S
558,55,R
559,34,S
560,0,S
561,25,S
562,34,S
563,40,S
564,24,S
565,39,S
566,34,R
567,22,S
568,1,S
569,22,S
570,35,R
571,0,S
572,10,S
573,30,S
574,6,S
575,34,S
576,37,R
577,34,R
578,58,S
579,22,R
580,18,R
581,40,R
582,45,R
583,22,R
584,34,R
585,9,S
586,25,R
587,6,S
588,6,R
589,59,R
590,59,S
591,20,R
592,55,R
593,24,R
594,39,R
595,54,R
596,35,S
597,30,R
598,9,S
599,9,R
600,0,R
601,22,S
602,6,R
603,50,S
604,38,R
605,22,S
606,19,S
607,39,S
608,7,S
609,44,S
610,33,S
611,9,R
612,58,S
613,59,S
614,6,S
615,36,R
616,39,R
617,6,S
618,7,S
619,29,S
620,44,R
621,51,S
622,58,S
623,18,S
624,36,S
625,36,S
626,25,R
627,6,R
628,58,R
629,9,S
630,33,S
